211579383250006, 2014, 240
211579383250006, 2015, 240
211579383250006, 2016, 240
295118610000006, 2014, 9
295118610000006, 2015, 9
295118610000006, 2016, 9
299011610500024, 2014, 9
299011610500024, 2015, 9
299011610500024, 2016, 9
393011440000000, 2014, 9
393011440000000, 2015, 9
393011440000000, 2016, 9
393021200700004, 2014, 51
393021200700004, 2015, 51
393021200700004, 2016, 51
393031443500004, 2014, 9
393031443500004, 2015, 9
393031443500004, 2016, 9
393161340500003, 2014, 9
393161340500003, 2015, 9
393161340500003, 2016, 9
393181404000005, 2014, 9
393181404000005, 2015, 9
393181404000005, 2016, 9
393181404500004, 2014, 9
393181404500004, 2015, 9
393181404500004, 2016, 9
442003027600006, 2016, 8
463129207600005, 2014, 9
463129207600005, 2015, 9
463129207600005, 2016, 9
494011124300013, 2014, 8
494011124300013, 2015, 8
494011124300013, 2016, 8
494011340000009, 2014, 9
494011340000009, 2015, 9
494011340000009, 2016, 9
494013609000001, 2014, 9
494013609000001, 2015, 9
494013609000001, 2016, 9
494013704000005, 2014, 9
494013704000005, 2015, 9
494013704000005, 2016, 9
494013706000045, 2014, 9
494013706000045, 2015, 9
494013706000045, 2016, 9
494022308200010, 2014, 9
494022308200010, 2015, 9
494022308200010, 2016, 9
494022308210001, 2014, 9
494022308210001, 2015, 9
494022308210001, 2016, 9
494032427400037, 2014, 9
494032427400037, 2015, 9
494032427400037, 2016, 9
494051039100017, 2014, 9
494051039100017, 2015, 9
494051039100017, 2016, 9
494051075400008, 2014, 9
494051075400008, 2015, 9
494051075400008, 2016, 9
494051117000006, 2014, 39
494051117000006, 2015, 39
494051117000006, 2016, 39
494091014000006, 2014, 39
494091014000006, 2015, 39
494091014000006, 2016, 39
494101003300034, 2014, 9
494101003300034, 2015, 9
494101003300034, 2016, 9
494101110400008, 2014, 39
494101110400008, 2015, 39
494101110400008, 2016, 39
494111110305016, 2015, 9
494111110305016, 2016, 9
494112411000009, 2014, 9
494112411000009, 2015, 9
494112411000009, 2016, 9
494121008500016, 2014, 9
494121008500016, 2015, 9
494121008500016, 2016, 9
494122335500026, 2014, 39
494122335500026, 2015, 39
494122335500026, 2016, 39
494131012000002, 2014, 39
494131012000002, 2015, 39
494131012000002, 2016, 39
494141010200009, 2016, 39
494141121400001, 2014, 9
494141121400001, 2015, 9
494141121400001, 2016, 9
494142604500002, 2015, 9
494142604500002, 2016, 9
494161302010007, 2014, 9
494161302010007, 2015, 9
494161302010007, 2016, 9
494161302300002, 2014, 9
494161302300002, 2015, 9
494161302300002, 2016, 9
494161309200007, 2014, 9
494161309200007, 2015, 9
494161309200007, 2016, 9
494163604300003, 2015, 9
494163604300003, 2016, 9
494171102710037, 2014, 9
494171102710037, 2015, 9
494192203000003, 2014, 9
494192203000003, 2015, 9
494192203000003, 2016, 9
494201000600004, 2014, 39
494201000600004, 2015, 39
494201000600004, 2016, 39
494201005600017, 2014, 9
494201005600017, 2015, 9
494201005600017, 2016, 9
494201206300029, 2014, 9
494201206300029, 2015, 9
494201206300029, 2016, 9
494203800220009, 2014, 9
494203800220009, 2015, 9
494203800220009, 2016, 9
