RunDate,RunTime,UtilityId,PremiseId,Year,RateClass,Strata,RecipeICap
2016-10-18,12:51,CONED,211579383250006,2015,9,621,478.476
2016-10-18,12:51,CONED,295118610000006,2015,9,1798.7,2067.42
2016-10-18,12:51,CONED,299011610500024,2015,9,189.1,144.052
2016-10-18,12:51,CONED,393011440000000,2015,9,529.4,656.06
2016-10-18,12:51,CONED,393021200700004,2015,1,455247,384.304
2016-10-18,12:51,CONED,393031443500004,2015,9,473,132.422
2016-10-18,12:51,CONED,393161340500003,2015,9,709.6,887.575
2016-10-18,12:51,CONED,393181404000005,2015,9,533.3,625.932
2016-10-18,12:51,CONED,393181404500004,2015,9,1899.5,2375.35
2016-10-18,12:51,CONED,463129207600005,2015,9,609.1,706.201
2016-10-18,12:51,CONED,494011124300013,2015,8,1057.9,1403.75
2016-10-18,12:51,CONED,494011340000009,2015,9,649.1,714.243
2016-10-18,12:51,CONED,494013609000001,2015,9,605.5,597.877
2016-10-18,12:51,CONED,494013704000005,2015,9,646.8,772.263
2016-10-18,12:51,CONED,494013706000045,2015,9,1288,1069.36
2016-10-18,12:51,CONED,494022308200010,2015,9,1070.8,1027.92
2016-10-18,12:51,CONED,494022308210001,2015,9,527,641.161
2016-10-18,12:51,CONED,494032427400037,2015,9,2349.1,2426.4
2016-10-18,12:51,CONED,494051039100017,2015,9,609.6,616.279
2016-10-18,12:51,CONED,494051075400008,2015,9,563.8,685.324
2016-10-18,12:51,CONED,494051117000006,2015,9,1080.6,1090.91
2016-10-18,12:51,CONED,494091014000006,2015,9,1562,1597.
2016-10-18,12:51,CONED,494101003300034,2015,9,591.5,442.257
2016-10-18,12:51,CONED,494101110400008,2015,9,2879.4,2798.8
2016-10-18,12:51,CONED,494111110305016,2015,9,1329.6,1681.35
2016-10-18,12:51,CONED,494112411000009,2015,9,779.2,985.305
2016-10-18,12:51,CONED,494121008500016,2015,9,745,721.572
