
JDBC::error: Column 'SystemLoad.CPYearID' is invalid in the select list because it is not contained in either an aggregate function or the GROUP BY clause.

Lookup::invrl: The argument Association[(Apply[#1 -> #2 & , #1, {1}] & )[SQLExecute[conn, systemQuery]]] is not a valid Association or a list of rules.
2016-10-17,14:24,PSEG,PE000008197594847716,2014,LPLS-INT,LPLS,Times[803.245, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008213030345592,2015,LPLS-INT,Null,Times[91.9825, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008213396840389,2015,LPLS-INT,Null,Times[87.9054, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008218242990337,2015,LPLS-NON,Null,Times[650.53, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008220592343570,2014,LPLS-INT,LPLS,Times[464.177, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008220592343570,2015,LPLS-INT,LPLS,Times[450.814, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008223047544532,2015,LPLS-INT,LPLS,Times[59.6558, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008236965371019,2015,GLP-INT,GLP,Times[52.4945, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008239919785415,2014,LPLS-INT,LPLS,Times[840.846, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008239919785415,2015,LPLS-INT,LPLS,Times[750.239, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008275846728675,2015,LPLS-INT,Null,Times[130.209, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008309747764074,2015,LPLS-NON,Null,Times[582.51, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008314766061668,2014,LPLS-INT,LPLS,Times[314.226, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008316273514295,2015,LPLS-INT,LPLS,Times[321.563, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008324654653579,2014,LPLS-INT,LPLS,Times[619.951, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008324654653579,2015,LPLS-INT,LPLS,Times[592.4, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008334836742674,2014,LPLS-INT,Null,Times[560.893, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008334836742674,2015,LPLS-INT,Null,Times[478.361, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008345788744080,2014,LPLP,LPLP,Times[781.254, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008355110145060,2014,LPLS-INT,Null,Times[760.336, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008355110145060,2015,LPLS-INT,Null,Times[670.262, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008375140445566,2014,LPLS-INT,LPLS,Times[429.133, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008385813407048,2014,LPLS-INT,Null,Times[174.903, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008398466632743,2014,LPLS-INT,LPLS,Times[447.391, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008423779148601,2014,LPLS-INT,LPLS,Times[682.197, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008423779148601,2015,LPLS-INT,LPLS,Times[594.469, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008440839271588,2014,LPLS-INT,LPLS,Times[134.827, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008440839271588,2015,LPLS-INT,LPLS,Times[109.418, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008441260008939,2015,LPLS-INT,LPLS,Times[331.516, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008441261808926,2015,LPLS-INT,LPLS,Times[367.466, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008466869898181,2015,LPLS-INT,LPLS,Times[201.574, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008478809065214,2015,LPLS-INT,Null,Times[106.717, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008502894278629,2014,LPLS-INT,LPLS,Times[520.576, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008502901559728,2014,LPLS-INT,LPLS,Times[601.371, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008502901559728,2015,LPLS-INT,LPLS,Times[488.453, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008517243544064,2014,LPLS-INT,Null,Times[606.966, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008526894470639,2014,LPLP,LPLP,Times[918.416, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008526894470639,2015,LPLP,LPLP,Times[854.914, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008537091446897,2015,LPLS-INT,LPLS,Times[419.532, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008542395244908,2014,GLP-INT,Null,Times[-40.4075, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008542395244908,2015,GLP-INT,Null,Times[-56.0873, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008567345753575,2014,LPLS-INT,LPLS,Times[210.602, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008610074071987,2014,LPLS-INT,Null,Times[309.532, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008616937292730,2015,GLP-INT,GLP,Times[-11.6777, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008627111155897,2014,LPLS-INT,LPLS,Times[1556.81, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008628923804102,2014,LPLS-INT,Null,Times[756.895, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008641263243415,2014,LPLS-INT,Null,Times[119.97, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008703256140417,2015,LPLS-INT,LPLS,Times[4.47277, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008706684142479,2015,LPLS-INT,LPLS,Times[116.199, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008710758785604,2015,LPLS-INT,LPLS,Times[432.322, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008717329098168,2014,LPLS-INT,LPLS,Times[180.269, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008720355057592,2015,LPLS-INT,Null,Times[584.73, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008731802895753,2014,LPLS-INT,Null,Times[406.096, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008733332488892,2014,LPLS-INT,LPLS,Times[470.891, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008733334045465,2015,LPLS-INT,LPLS,Times[451.718, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008734766244762,2015,LPLS-INT,LPLS,Times[335.112, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008750530169195,2014,LPLS-INT,Null,Times[674.343, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008750530169195,2015,LPLS-INT,Null,Times[535.481, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008768230868092,2015,LPLS-INT,Null,Times[135.246, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008795926843829,2014,GLP-INT,Null,Times[-29.187, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008832560045538,2015,LPLS-INT,Null,Times[542.857, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008839551292336,2014,GLP-INT,Null,Times[-7.48113, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008839551292336,2015,GLP-INT,Null,Times[-11.8607, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008845242038211,2014,LPLS-INT,LPLS,Times[686.127, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008845242038211,2015,LPLS-INT,LPLS,Times[601.071, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008855661842970,2015,LPLS-INT,LPLS,Times[211.125, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008870499438404,2014,LPLS-INT,Null,Times[453.658, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008879508321726,2014,LPLS-INT,Null,Times[379.911, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008885468259545,2014,LPLS-INT,LPLS,Times[526.848, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008908702743350,2014,LPLS-INT,LPLS,Times[751.402, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008927944244924,2015,LPLS-INT,LPLS,Times[184.72, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008933313264799,2014,LPLS-INT,Null,Times[342.458, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008933313264799,2015,LPLS-INT,Null,Times[385.647, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008948960362228,2014,LPLS-INT,LPLS,Times[354.249, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008948960362228,2015,LPLS-INT,LPLS,Times[472.532, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000008950537491555,2015,LPLS-INT,LPLS,Times[184.117, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009007874244715,2014,LPLP,Null,Times[709.618, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009035153747165,2014,LPLS-INT,LPLS,Times[223.678, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009035153747165,2015,LPLS-INT,LPLS,Times[208.141, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009043986045699,2014,LPLP,LPLP,Times[465.845, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009050428356039,2014,LPLP,Null,Times[2086.93, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009071558269704,2014,LPLS-INT,LPLS,Times[147.35, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009077585943275,2014,LPLS-INT,Null,Times[70.024, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009098952623526,2014,LPLP,LPLP,Times[3693.2, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009098952623526,2015,LPLP,LPLP,Times[3487.92, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009114036868108,2014,LPLS-INT,Null,Times[463.04, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009127324318427,2014,LPLS-INT,Null,Times[86.2348, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009128318459565,2014,LPLS-INT,LPLS,Times[502.372, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009164013643908,2014,LPLS-NON,Null,Times[315.121, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009164016905413,2014,LPLS-INT,LPLS,Times[397.035, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009171078042804,2014,LPLS-NON,Null,Times[634.718, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009187131974446,2014,GLP-INT,Null,Times[-11.981, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009195837124672,2015,LPLS-INT,Null,Times[376.012, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009214756074431,2014,GLP-INT,Null,Times[-20.9629, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009220971742933,2014,LPLS-INT,Null,Times[-132.547, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009225407712117,2015,LPLS-INT,Null,Times[143.032, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009229998147716,2014,LPLS-INT,LPLS,Times[324.297, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009237733232251,2015,LPLS-INT,LPLS,Times[254.117, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009241361668163,2014,LPLS-INT,Null,Times[95.6589, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009270089766431,2014,LPLS-INT,LPLS,Times[1098.74, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009277140134547,2015,LPLS-INT,LPLS,Times[167.466, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009282776547162,2014,LPLP,Null,Times[27.1374, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009288888272928,2014,LPLS-INT,LPLS,Times[359.882, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009288890884543,2014,LPLS-INT,LPLS,Times[302.588, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009288890884543,2015,LPLS-INT,LPLS,Times[327.239, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009309875468460,2015,LPLS-INT,LPLS,Times[543.904, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009314791642767,2014,LPLS-INT,LPLS,Times[393.084, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009316480445483,2014,LPLS-INT,Null,Times[192.459, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009335272278981,2014,LPLS-NON,Null,Times[784.445, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009380411042654,2014,LPLP,LPLP,Times[422.996, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009404505164265,2014,LPLS-INT,Null,Times[639.758, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009415472143861,2014,LPLS-INT,Null,Times[305.598, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009433779719229,2015,LPLS-INT,Null,Times[82.5622, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009465033040425,2014,LPLS-INT,Null,Times[273.517, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009469437945421,2014,LPLS-INT,Null,Times[170.165, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009500872878169,2014,LPLS-INT,LPLS,Times[814.098, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009500872878169,2015,LPLS-INT,LPLS,Times[819.616, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009513512531038,2014,LPLP,LPLP,Times[291.358, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009516354945743,2014,LPLS-INT,LPLS,Times[545.419, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009539925954746,2014,LPLS-INT,LPLS,Times[452.315, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009545878245534,2014,LPLS-INT,LPLS,Times[29.0457, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009575203645351,2015,LPLS-INT,LPLS,Times[436.071, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009583766245565,2014,LPLS-INT,Null,Times[507.414, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009585614242970,2014,LPLS-INT,LPLS,Times[851.588, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009585614242970,2015,LPLS-INT,LPLS,Times[854.477, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009586366872422,2015,LPLS-NON,LPLS,Times[323.348, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009600251443525,2014,LPLS-INT,LPLS,Times[1007.58, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009606941440997,2014,LPLS-INT,LPLS,Times[638.019, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009606941440997,2015,LPLS-INT,LPLS,Times[259.276, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009654557940417,2015,LPLP,LPLP,Times[5.81302, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009658446145436,2014,LPLS-INT,LPLS,Times[253.62, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009662197445566,2014,LPLS-INT,LPLS,Times[433.037, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009662197445566,2015,LPLS-INT,LPLS,Times[399.449, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009663741853312,2015,LPLS-INT,Null,Times[72.8158, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009682852068460,2015,LPLP,LPLP,Times[454.236, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009683933727521,2014,LPLS-INT,LPLS,Times[514.605, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009686411143765,2015,LPLS-INT,Null,Times[166.927, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009686417842861,2015,LPLS-INT,LPLS,Times[83.0273, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009698450510916,2014,LPLS-INT,Null,Times[74.399, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009743895655586,2014,LPLS-INT,LPLS,Times[490.362, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009746571040288,2015,LPLS-INT,LPLS,Times[279.617, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009775399045705,2014,LPLS-INT,LPLS,Times[1273.66, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009793204042771,2014,LPLP,Null,Times[242.113, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009795535533007,2014,GLP-INT,GLP,Times[-1.34876, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009821951266038,2015,LPLS-INT,Null,Times[113.914, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009829248539888,2014,LPLS-INT,LPLS,Times[291.845, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009829248539888,2015,LPLS-INT,LPLS,Times[274.369, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009841409718887,2015,LPLS-NON,LPLS,Times[227.474, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009855907365738,2014,GLP-INT,Null,Times[26.3298, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009857616871987,2015,LPLS-INT,Null,Times[167.43, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009857915444224,2014,LPLS-INT,LPLS,Times[904.182, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009893995245566,2014,LPLP,LPLP,Times[446.396, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009893995245566,2015,LPLP,LPLP,Times[453.8, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009894551227460,2015,GLP-INT,GLP,Times[60.2, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009898605217943,2015,GLP-INT,GLP,Times[30.9372, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009900807008983,2015,LPLS-INT,LPLS,Times[305.214, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009921956042674,2014,LPLS-INT,Null,Times[140.958, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009922222643570,2014,LPLS-INT,LPLS,Times[956.511, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009927449017855,2014,LPLS-INT,Null,Times[736.819, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009927449017855,2015,LPLS-INT,Null,Times[676.979, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009937442364244,2014,LPLS-INT,LPLS,Times[562.652, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009937961263428,2015,LPLS-INT,Null,Times[100.967, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009990890744975,2015,LPLS-NON,Null,Times[665.265, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009998269698293,2014,LPLS-INT,Null,Times[670.892, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000009998269698293,2015,LPLS-INT,Null,Times[802.479, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000010007952444481,2014,LPLP,Null,Times[276.094, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000010010528744790,2014,LPLS-INT,LPLS,Times[612.561, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000010010528744790,2015,LPLS-INT,LPLS,Times[785.682, Lookup[sys, year, 0.]]
2016-10-17,14:24,PSEG,PE000010011775343850,2014,LPLS-NON,Null,Times[308.631, Lookup[sys, year, 0.]]
