RunDate,RunTime,ISO,UtilityId,PremiseId,Year,RateClass,Strata,MType,RecipeICap
2016-11-07,18:10,NYISO,CONED,299011610500024,2016,9,189.1,INT,123.26
2016-11-07,18:10,NYISO,CONED,393031443500004,2016,9,473,INT,109.428
2016-11-07,18:10,NYISO,CONED,494032427400037,2016,9,2349.1,INT,2005.08
2016-11-07,18:10,NYISO,CONED,494111110305016,2016,9,1329.6,INT,471.441
2016-11-07,18:10,NYISO,CONED,494122335500026,2016,9,746.2,INT,155.043
2016-11-07,18:10,NYISO,CONED,494142604500002,2016,9,457.1,INT,124.147
2016-11-07,18:10,NYISO,CONED,494171102710037,2016,9,1654,INT,439.224
2016-11-07,18:10,NYISO,CONED,695102020000018,2015,9,1590.4,INT,1373.07
2016-11-07,18:10,NYISO,CONED,696041101100009,2016,8,477.6,INT,350.974
2016-11-07,18:10,NYISO,CONED,696041716300002,2016,8,440.3,INT,351.499
2016-11-07,18:10,NYISO,CONED,696111207100029,2016,9,689.8,INT,128.974
2016-11-07,18:10,NYISO,CONED,401101107400005,2015,9,15.3,DMD,7.98338
2016-11-07,18:10,NYISO,CONED,401101107400005,2016,9,15.3,DMD,9.0986
2016-11-07,18:10,NYISO,CONED,415041583000024,2015,9,14.7,DMD,17.2787
2016-11-07,18:10,NYISO,CONED,415041583000024,2016,9,14.7,DMD,8.69449
2016-11-07,18:10,NYISO,CONED,314269081500003,2015,2,4210,DMD,2.49582
2016-11-07,18:10,NYISO,CONED,314269081500003,2016,2,4210,DMD,3.13422
2016-11-07,18:10,NYISO,CONED,314269126000027,2015,2,5021,DMD,3.62297
2016-11-07,18:10,NYISO,CONED,314269126000027,2016,2,5021,DMD,3.74578
2016-11-07,18:10,NYISO,CONED,314269141500019,2015,9,2.6,DMD,0.966125
2016-11-07,18:10,NYISO,CONED,314269141500019,2016,9,2.6,DMD,0.840888
2016-11-07,18:10,NYISO,CONED,314269149500011,2015,2,504,DMD,0.241531
2016-11-07,18:10,NYISO,CONED,314269149500011,2016,2,504,DMD,0.229333
2016-11-07,18:10,NYISO,CONED,233662800054039,2015,9,32.5,DMD,38.3843
2016-11-07,18:10,NYISO,CONED,233662800054039,2016,9,32.5,DMD,27.4378
2016-11-07,18:10,NYISO,CONED,577604014110029,2016,9,42.7,DMD,0.
2016-11-07,18:10,NYISO,CONED,471137053000089,2015,2,4291,DMD,3.24701
2016-11-07,18:10,NYISO,CONED,471137053000089,2016,2,4291,DMD,1.41035
2016-11-07,18:10,NYISO,CONED,411027966800019,2015,2,2492,DMD,1.6235
2016-11-07,18:10,NYISO,CONED,411027966800019,2016,2,2492,DMD,0.809859
2016-11-07,18:10,NYISO,CONED,471024197500002,2016,2,4578,DMD,1.07088
2016-11-07,18:10,NYISO,CONED,471024197500002,2015,2,4578,DMD,3.24701
2016-11-07,18:10,NYISO,CONED,471024232500009,2015,2,1118,DMD,0.927716
2016-11-07,18:10,NYISO,CONED,471024232500009,2016,2,1118,DMD,0.285567
2016-11-07,18:10,NYISO,CONED,482127242500013,2015,2,1156,DMD,1.04368
2016-11-07,18:10,NYISO,CONED,482127242500013,2016,2,1156,DMD,0.188566
2016-11-07,18:10,NYISO,CONED,666378692500023,2015,2,5093,DMD,4.12462
2016-11-07,18:10,NYISO,CONED,666378692500023,2016,2,5093,DMD,2.68543
2016-11-07,18:10,NYISO,CONED,325223013005018,2016,2,2276,DMD,0.797589
2016-11-07,18:10,NYISO,CONED,325223013005018,2015,2,2276,DMD,2.00274
2016-11-07,18:10,NYISO,CONED,452321060900001,2015,2,4045,DMD,2.08736
2016-11-07,18:10,NYISO,CONED,452321060900001,2016,2,4045,DMD,1.18557
2016-11-07,18:10,NYISO,CONED,299051931510005,2015,9,24.7,DMD,14.8435
2016-11-07,18:10,NYISO,CONED,299051931510005,2016,9,24.7,DMD,9.03015
2016-11-07,18:10,NYISO,CONED,436213376000009,2015,9,319,DMD,0.601709
2016-11-07,18:10,NYISO,CONED,436213376500008,2015,9,1.2,DMD,2.74112
2016-11-07,18:10,NYISO,CONED,544601083138006,2016,9,80,DMD,88.0028
2016-11-07,18:10,NYISO,CONED,325051061004124,2015,9,27.9,DMD,28.6589
2016-11-07,18:10,NYISO,CONED,325051061004124,2016,9,27.9,DMD,16.6376
2016-11-07,18:10,NYISO,CONED,444011303900006,2015,2,573,DMD,0.231929
2016-11-07,18:10,NYISO,CONED,444011303900006,2016,2,573,DMD,0.0880058
2016-11-07,18:10,NYISO,CONED,266570325850056,2015,9,43.6,DMD,21.2616
2016-11-07,18:10,NYISO,CONED,266570325850056,2016,9,43.6,DMD,3.72634
2016-11-07,18:10,NYISO,CONED,255974230000000,2015,9,28,DMD,32.4701
2016-11-07,18:10,NYISO,CONED,255974230000000,2016,9,28,DMD,5.86908
2016-11-07,18:10,NYISO,CONED,590021510030028,2015,9,410,DMD,499.863
2016-11-07,18:10,NYISO,CONED,590021510030028,2016,9,410,DMD,366.425
2016-11-07,18:10,NYISO,CONED,701925330000001,2015,1,2521,DMD,2.08736
2016-11-07,18:10,NYISO,CONED,701925330000001,2016,1,2521,DMD,1.08707
2016-11-07,18:10,NYISO,CONED,622214122150001,2016,9,112,DMD,90.2287
2016-11-07,18:10,NYISO,CONED,422029073500026,2016,9,80.4,DMD,41.2713
2016-11-07,18:10,NYISO,CONED,433027071500045,2016,9,57.9,DMD,65.6351
2016-11-07,18:10,NYISO,CONED,433121055300025,2016,9,100.8,DMD,38.7901
2016-11-07,18:10,NYISO,CONED,444125315000009,2016,9,81.1,DMD,27.3037
2016-11-07,18:10,NYISO,CONED,301215438500019,2016,9,11.3,DMD,7.09828
2016-11-07,18:10,NYISO,CONED,437025428500003,2015,2,5211,DMD,0.347894
2016-11-07,18:10,NYISO,CONED,325075416200004,2015,9,21.3,DMD,13.0751
2016-11-07,18:10,NYISO,CONED,325075416200004,2016,9,21.3,DMD,11.3561
2016-11-07,18:10,NYISO,CONED,326001018700018,2015,2,619,DMD,0.347894
2016-11-07,18:10,NYISO,CONED,326001018700018,2016,2,619,DMD,0.106793
2016-11-07,18:10,NYISO,CONED,411027509000028,2015,2,1480,DMD,1.15965
2016-11-07,18:10,NYISO,CONED,411027509000028,2016,2,1480,DMD,0.503094
2016-11-07,18:10,NYISO,CONED,422001060000047,2015,2,294,DMD,0.222792
2016-11-07,18:10,NYISO,CONED,422001060000047,2016,2,294,DMD,0.231757
2016-11-07,18:10,NYISO,CONED,431009052020021,2015,2,65,DMD,0.135397
2016-11-07,18:10,NYISO,CONED,474205090500085,2015,9,9.7,DMD,6.81352
2016-11-07,18:10,NYISO,CONED,474205090500085,2016,9,9.7,DMD,5.67454
2016-11-07,18:10,NYISO,CONED,314785295000001,2015,9,64.5,DMD,22.8511
2016-11-07,18:10,NYISO,CONED,314785295000001,2016,9,64.5,DMD,19.4242
2016-11-07,18:10,NYISO,CONED,473209085000037,2015,9,6.5,DMD,6.77306
2016-11-07,18:10,NYISO,CONED,473209085000037,2016,9,6.5,DMD,4.45604
2016-11-07,18:10,NYISO,CONED,473211099100001,2015,9,6.7,DMD,6.63443
2016-11-07,18:10,NYISO,CONED,473211099100001,2016,9,6.7,DMD,3.47575
2016-11-07,18:10,NYISO,CONED,412126034000005,2015,9,83.6,DMD,94.6271
2016-11-07,18:10,NYISO,CONED,412126034000005,2016,9,83.6,DMD,90.479
2016-11-07,18:10,NYISO,CONED,461123100500000,2015,9,14.1,DMD,16.6989
2016-11-07,18:10,NYISO,CONED,461123100500000,2016,9,14.1,DMD,4.59227
2016-11-07,18:10,NYISO,CONED,314057037000008,2015,9,53.3,DMD,41.6149
2016-11-07,18:10,NYISO,CONED,314057037000008,2016,9,53.3,DMD,44.8011
2016-11-07,18:10,NYISO,CONED,211306319000002,2015,9,78.1,DMD,65.9523
2016-11-07,18:10,NYISO,CONED,211306319000002,2016,9,78.1,DMD,69.238
2016-11-07,18:10,NYISO,CONED,211601054500004,2015,9,14.7,DMD,5.71624
2016-11-07,18:10,NYISO,CONED,211601054500004,2016,9,14.7,DMD,6.95644
2016-11-07,18:10,NYISO,CONED,211587100500009,2015,9,32.8,DMD,7.06702
2016-11-07,18:10,NYISO,CONED,211587100500009,2016,9,32.8,DMD,34.0094
